level_0	index	TABKEY	CLASS	MANUF	MODEL	GROUP	SERIES	DEVTYPE	DESCRIPTION	CATEGORY
1	1	4967	PRG	Clarizen	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2	2	6739	PRG	Xerox	FreeFlow	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
3	3	8917	PRG	Pentaho	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
4	4	10979	PRG	Bentley	PondPack	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
5	5	6253100	AUX	IBM	NAS	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
7	7	9173	RTR	Apcon	ROUTER	ROUTER	ROUTER		ROUTER	
10	10	6516900	PRG	MICROSOFT	PORTAL	PORTAL-MGMT	WORKFLOW	APPL	PORTAL MANAGEMENT	
11	11	5104	PRG	BMC	BladeLogic	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
12	12	1287	PRG	Amazon	CloudFront	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
14	14	90570900	PRT	LANIER	PRINTER	PRINTER	PRINTER	UNSPEC	PRINTER	
16	16	5268	PRT	HP	Designjet	PRINTER	PRINTER	UNSPEC	PRINTER	
17	17	11738	PRG	BrowsrStack	BrowserStack	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
21	21	127	PRG	ThmsnReutrs	CaseLogistix	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
23	23	4668	PRG	Siemens	APOGEE	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
24	24	6576	PRG	Savvis	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
26	26	11361	NLV	Piwik	NLV	NLV	NLV	NLV	NLV	
30	30	11619	PRG	Jetbrains	TeamCity	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
31	31	8597	PRG	Software-ag	Alfabet	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
34	34	11647	PRG	INFOSYS-INT	Finacle	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
36	36	11245	PRG	CmpaignMntr	CampaignMntr	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
41	41	108	PRG	Bomgar	DESKTOP-MGMT	DESKTOP-MGMT	SYSTEMS-MGMT	SYSTEM	DESKTOP MANAGEMENT TOOLS	
42	42	948	PRG	Oracle	Oracle Sales	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
43	43	11164	PRG	CRYENGINE	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
45	45	12171	PRG	Gunicorn	NET-MGMT-SW	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
47	47	8569	NLV	Red-Hat	NLV	NLV	NLV	NLV	NLV	
49	49	606	PRG	NetApp	OnCommand	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
51	51	10552	PRG	nasuni	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
52	52	7383	PRG	Amazon	Payments	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
54	54	10696	PRG	Intel	Mashery	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
55	55	11363	PRG	KISSmetrics	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
56	56	10445	PRG	Apache-Soft	Lucene	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
57	57	90343700	PRG	SIEBEL	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
58	58	5852000	CPU	IBM	MIDRANGE	MIDRANGE	MIDRANGE	IBM-MID	SERVER	
59	59	11623	PRG	Sunquest	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
60	60	6923	PRG	Oracle	PS HelpDesk	HELPDESK	ENTERPRISE-A	APPL	HELP DESK MANAGEMENT	
61	61	6386700	VPN	CISCO	VPN	VPN	VPN		VIRTUAL PRIVATE NETWORK	
62	62	8821	PRG	Stibo Sys	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
64	64	90298200	PRG	IBM	RATIONAL	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
65	65	10666	OPR	Apache-Soft	Tomcat	OS	OS		OPERATING SYSTEM	
66	66	7003	VIP	Cisco	TelePresence	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
68	68	90781900	PRG	ORACLE	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
70	70	1037	PRG	IBM	WebsphereMQ	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
71	71	11412	PRG	Pingdom	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
72	72	10980	RTR	Oracle	AcmePacket	ROUTER	ROUTER		ROUTER	
73	73	8837	VIP	Avotus	VOIP	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
76	76	10704	PRG	DataXu	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
77	77	90394300	CPU	HP	EXT	EXT	EXT	RISC	SERVER	HIGH-END
78	78	11110	PRG	HlthcrSourc	HlthcarSourc	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
80	80	7131	RTR	IBM	WbSphrDtaPwr	ROUTER	ROUTER		ROUTER	
81	81	90336900	PRG	ORACLE	HR	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
83	83	6373300	LSW	BROCADE	SWITCH	SWITCH	SWITCH		LAN SWITCH	
84	84	11739	PRG	PrfctoMbile	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
86	86	593	PRG	NetApp	DataONTAP	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
87	87	812	OPR	OpenGroup	Unix	UNIX	UNIX		OPERATING SYSTEM	
88	88	484	PRG	IBM	IBM Vsam	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
90	90	11785	PRG	Medidata	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
91	91	5218	PRG	AirWatch	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
92	92	495	PRG	Wimba	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
93	93	532	PRG	Citrix	XenServer	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
95	95	1290	PRG	Amazon	SimpleDB	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
96	96	11321	PRG	Formstack	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
98	98	4258500	PRG	RATIONAL	RATIONAL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
99	99	1034	PRG	Oracle	ProdLcMgnt	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
100	100	7347	PRG	Igloo Soft	COLLAB-SWFTR	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
102	102	12399	PRG	MasterCtrl	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
103	103	10687	PRG	ANSYS	CFX	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
104	104	10492	PRG	Iovation	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
105	105	7299	PRG	IBM	OpenPages	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
107	107	381	PRG	Proofpoint	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
108	108	11314	PRG	OpenSource	nginx	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
110	110	10743	PRG	Infoblox	NET-MGMT-SW	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
111	111	11047	PRG	Apache-Soft	Hive	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
114	114	666	PRG	SAP	SAP SEM	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
117	117	11645	VIP	West Corp	VOIP	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
120	120	216	RTR	Fortinet	ROUTER	ROUTER	ROUTER		ROUTER	
121	121	158	PRG	IBM	Coremetrics	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
122	122	1228	PRG	Microsoft	MS TFS	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
123	123	12422	PRG	mendix	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
125	125	805	PRG	Google	Analytics	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
127	127	5177	PRG	SUSE	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
129	129	6368	PRG	Q1Labs	Qradar	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
132	132	828	OPR	GeneralTech	COBOL	DEV-TOOL	OS		OPERATING SYSTEM	
133	133	90336700	PRG	ORACLE	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
135	135	11683	PRG	Ivalua	PROCURMNT-SW	PROCUREMENT	ENTPRISE-APP	APPL	PROCUREMENT	
138	138	12523	PRG	Selectica	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
139	139	9318	PRG	Kaseya	IT-MGT-SW	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
140	140	6484	PRG	Salesforce	ServiceCloud	CONTACTCENTE	ENTERPRISE-A	SYSTEM	CONTACT CENTER MANAGEMENT	
141	141	9294	PRG	Eaglesoft	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
142	142	9316	PRG	Sony	SoundForge	MEDIA	IND-SPECIFIC	APPL	MEDIA	
143	143	3157600	PRT	XEROX	DOCUTECH	DOCUTECH	PRODUCTION	PROD	PRODUCTION PRINTER	
144	144	10989	PRG	NCR	AlohaPOS	RETIAL	IND-SPECIFIC	APPL	RETAIL	
145	145	12655	PRG	Philips	CX50	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
146	146	106	RTR	BLUE-COAT	ROUTER	ROUTER	ROUTER		ROUTER	
147	147	186	PRG	Blackboard	Elluminate	EDUCATION	IND-SPECIFIC	APPL	ACADEMIC & EDUCATION MANAGEM	
148	148	5214	PRG	Software-ag	ARIS	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
149	149	11462	PRG	Conversant	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
151	151	7152	RTR	RckusWirlss	ROUTER	ROUTER	ROUTER		ROUTER	
154	154	6332700	PRG	CA	EASYTRIEVE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
155	155	4694	RTR	Nortel	Alteon	ROUTER	ROUTER		ROUTER	
157	157	8490	PRG	OptumInsght	OptumInsight	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
159	159	1304	OPR	IBM	z-OS	OS	OS		OPERATING SYSTEM	
160	160	11187	PRG	SAP	ExtndWHMgnt	SUPPLY-CHAIN	ENTPRISE-APP	APPL	SUPPLY CHAIN MANAGEMENT	
161	161	4732	PRG	Adobe	Flex	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
162	162	5279	PRG	Bentley	AutoPlant	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
165	165	5058	PRG	SAP	Credit Mgmt	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
166	166	11480	PRG	Avalara	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
170	170	11472	PRG	Spredfast	SOCIAL-MGT	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
173	173	4627	PRG	Symantec	PGP	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
174	174	9427	PRG	Couchbase	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
176	176	7056	PRG	FreshBooks	ACCTNG-SFTWR	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
178	178	8665	PRG	Cisco	Cisco Jabber	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
179	179	4734	PRG	Adobe	Illustrator	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
180	180	3370	PRG	Amazon	ElstcLoadBal	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
181	181	3550	PRG	F5-NETWORKS	F5 APM	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
183	183	3397	PRG	Riverbed	Steelhead	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
184	184	5052	PRG	SAP	SolutionMgr	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
186	186	5336	PRG	Citrix	CitrixPodio	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
188	188	4834	PRG	Bentley	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
191	191	235	PRG	IBM	Informix	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
192	192	297	PRG	Longview	CPM	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
194	194	10892	PRG	Datasift	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
196	196	12718	PRG	AvePoint	DOC-MGMT	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
198	198	7282	PRG	Red-Hat	Strg Server	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
201	201	676	VIP	Avaya	Comms Server	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
202	202	3261900	OPR	ARGUS	ARGUS				OPERATING SYSTEM	
204	204	548	CPU	HP	Itanium	ITANIUM	INTEGRITY	RISC	SERVER	
205	205	10905	PRG	SaltStack	IT-MGT-SW	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
207	207	11034	PRG	Squarespace	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
208	208	40	PRG	Marketo	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
209	209	12420	PRG	Appceleratr	Appcelerator	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
210	210	1248	PRG	Autodesk	Inventor	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
211	211	11322	PRG	Formsite	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
214	214	90433000	PRG	QUARK	QUARK-XPRESS	GRAPH-DESIGN	WORKSTATION	APPL	GRAPHIC DESIGN	
215	215	11765	RTR	UbiquitiNet	ROUTER	ROUTER	ROUTER		ROUTER	
216	216	10778	PRG	Backbase	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
217	217	6997	PRG	BNA	ACCTNG-SFTWR	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
219	219	5041	PRG	SAP	CrystlReprts	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
220	220	10825	PRG	Apache-Soft	Solr	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
221	221	90789700	PRG	OTHER	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
222	222	4740	PRG	Adobe	Presenter	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
224	224	10774	PRG	Zycus	SPPLY-CHN-SW	SUPPLY-CHAIN	ENTPRISE-APP	APPL	SUPPLY CHAIN MANAGEMENT	
225	225	4824	PRG	Autodesk	Mudbox	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
226	226	5231	PRG	IBM	Cognos 8	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
227	227	10973	PRG	ForeScout	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
229	229	10483	PRG	Oracle	Essbase	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
231	231	898	PRG	IBM	Cognos TM1	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
232	232	8577	PRG	Microsoft	Office2013	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
234	234	11259	PRG	VisiStat	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
239	239	5854600	CPU	IBM	3080	3080	3080	IBM/PCM	IBM/PCM MAINFRAME	HIGH-END
240	240	629	PRG	Microsoft	Publisher	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
241	241	11454	PRG	WebCollage	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
245	245	10725	PRG	OpenSource	OpenStack	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
246	246	11774	PRG	IBM	RatPerfTestr	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
249	249	7426	PRG	FireEye	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
250	250	2961900	PRT	KONICA	PRINTER	PRINTER	PRINTER	UNSPEC	PRINTER	
251	251	90798000	PRG	SAP	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
254	254	8834	PRG	Dyn	DynDNS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
255	255	1080	PRG	CollabNet	TeamForge	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
257	257	1122	PRG	SAS	SAS ETL	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
258	258	10581	PRG	Linode	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
260	260	11620	PRG	Symfony	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
261	261	9300	PRG	iCIMS	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
263	263	21	PRG	Oracle	PS	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
265	265	8436	PRG	LivePerson	SOCIAL-MGT	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
267	267	12402	PRG	SAP	MatrialsMgnt	SUPPLY-CHAIN	ENTPRISE-APP	APPL	SUPPLY CHAIN MANAGEMENT	
271	271	12767	VIP	pagerduty	VOIP	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
272	272	11253	PRG	Google	Tag Mgr	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
273	273	10770	PRG	TRUSTe	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
274	274	10787	PRG	LLamasoft	SPPLY-CHN-SW	SUPPLY-CHAIN	ENTPRISE-APP	APPL	SUPPLY CHAIN MANAGEMENT	
275	275	4703	PRG	NetSuite	OpenAir	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
276	276	4606	PRG	PegaSys	PegaCaseMgt	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
278	278	7002	PRG	Marketwire	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
281	281	1276	PRG	IBM	Modeler	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
282	282	11367	PRG	Curalate	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
284	284	8434	PRG	Damballa	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
285	285	8449	OPR	Microsoft	TransactSQL	OS	OS		OPERATING SYSTEM	
287	287	6304500	AUX	IOMEGA	NAS	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
288	288	526	PRG	Citrix	NetScaler	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
291	291	90781600	PRG	MICROSOFT	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
292	292	3411	RTR	Riverbed	SteelCentral	ROUTER	ROUTER		ROUTER	
293	293	5048	PRG	SAP	ENTPrfrmMgmt	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
294	294	39	PRG	Infor	Baan	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
297	297	90434100	CPU	APPLE	SERVER	UNSPEC-SVR	SERVER	UNSPEC	SERVER	
298	298	10740	PRG	HmcareHmbse	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
299	299	10808	PRG	Microsoft	ActvDrFedSrv	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
301	301	78	PRG	Aprimo	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
302	302	10949	PRG	Bentley	STAAD	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
303	303	11173	PRG	Autodesk	Sketchbook	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
304	304	1040	OPR	Oracle	Solaris10	UNIX	UNIX		OPERATING SYSTEM	
305	305	6519500	PRG	LAWSON	PROCUREMENT	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
306	306	12408	PRG	HP	IntgLghtsOut	DESKTOP-MGMT	SYSTEMS-MGMT	SYSTEM	DESKTOP MANAGEMENT TOOLS	
309	309	9252	PRG	HP	Exstream	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
310	310	1129	PRG	SAS	Analytics	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
311	311	6526	PRG	Informatica	PowerCntr	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
312	312	11492	PRG	Avature	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
314	314	90713200	PRG	SAGE	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
316	316	4956	CPC	Microsoft	Surface	DESKTOP	PC	PERIPHE	PERSONAL COMPUTING PERIPHERA	
317	317	889	PRG	HP	SiteScope	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
319	319	11154	PRG	AdRoll	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
320	320	10644	PRG	Oracle	GlassFish	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
321	321	784	OPR	Microsoft	W2012-server	WINDOWS	WINDOWS		OPERATING SYSTEM	
322	322	10602	PRG	Cisco	IPS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
324	324	6564	PRG	Kofax	MarkView	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
325	325	12340	PRG	Offerpop	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
326	326	8993	PRG	MailChimp	EMAIL	EMAIL	ENTPRISE-APP	APPL	EMAIL SOFTWARE	
327	327	11377	PRG	LinkShare	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
328	328	4752	PRG	Microsoft	CntrConfgMgr	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
329	329	760	AUX	Oracle	Exadata	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
331	331	1114	PRG	Quest-sftwr	Foglight	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
332	332	11069	PRG	GetResponse	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
334	334	7134	PRG	IBM	Worklight	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
335	335	9375	PRG	LucidWorks	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
337	337	4658	AUX	HP	MSA	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
338	338	90879400	PRG	CISCO	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	SYSTEM	STORAGE MANAGEMENT	
339	339	55	PRG	Aderant	LEGAL-SRV-SW	LEGAL-SRV	IND-SPECIFIC	APPL	LEGAL & PROFESSIONAL SERVICE	
342	342	10847	PRG	Microsoft	Power BI	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
343	343	761	PRG	Microsoft	Forefront	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
344	344	590	PRG	Microsoft	Dynamics ERP	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
347	347	10739	PRG	IBM	TransExtndr	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
348	348	9266	PRG	Yardi	Voyager	CONSTRUCTION	IND-SPECIFIC	APPL	CONSTRUCTION	
352	352	7048	PRG	Vertica	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
